project,user,allocation
gb02, ARE, 100
gb02, jl8556, 300
gb02, sl5165, 300
gb02, fbd581, 400
gb02, qo9901, 100
gb02, ab8992, 200
fy29, ARE, 100
fy29, hl7139, 200
fy29, jma548, 90
fy29, sl5165, 300
fy29, lk5320, 200
fy29, sd9490, 200
if69, ARE, 100
if69, cj0591, 130
if69, qo9901, 110
if69, rq1991, 50
if69, mr4682, 30
if69, mm6452, 10
if69, mb0427, 70
if69, td6427, 50
if69, qj2249, 15
if69, qr1706, 170
ng72, ARE, 100
ng72, oa1927, 500
ng72, lk5320, 352
ng72, cd3007, 50
ng72, js2535, 100
ng72, jt0319, 100
