Project,User,Usage,Allocation,Status
gb02,ab4502,112.6,10.0,Usage exceeds allocation by 102.6
gb02,ab8992,521.6,200.0,Usage exceeds allocation by 321.6
gb02,ad0579,6.1,10.0,Within the 10.0 KSU allocation per quarter
gb02,ad1803,12.7,10.0,Usage exceeds allocation by 2.7
gb02,ak2642,4.9,10.0,Within the 10.0 KSU allocation per quarter
gb02,as8561,8.4,10.0,Within the 10.0 KSU allocation per quarter
gb02,bw6466,0.0,10.0,Within the 10.0 KSU allocation per quarter
gb02,dh3280,2.4,10.0,Within the 10.0 KSU allocation per quarter
gb02,dl6968,0.3,10.0,Within the 10.0 KSU allocation per quarter
gb02,eb4149,0.0,10.0,Within the 10.0 KSU allocation per quarter
gb02,ef1645,1.7,10.0,Within the 10.0 KSU allocation per quarter
gb02,fbd581,418.4,400.0,Usage exceeds allocation by 18.4
gb02,gs5098,0.0,10.0,Within the 10.0 KSU allocation per quarter
gb02,jd2435,0.0,10.0,Within the 10.0 KSU allocation per quarter
gb02,jl8556,190.3,300.0,Within the 300.0 KSU allocation per quarter
gb02,jma548,0.0,10.0,Within the 10.0 KSU allocation per quarter
gb02,jt0319,0.0,10.0,Within the 10.0 KSU allocation per quarter
gb02,lk5320,1.7,10.0,Within the 10.0 KSU allocation per quarter
gb02,lw5085,59.0,10.0,Usage exceeds allocation by 49.0
gb02,mh6543,40.1,10.0,Usage exceeds allocation by 30.1
gb02,mjl561,40.2,10.0,Usage exceeds allocation by 30.2
gb02,mm6452,42.7,10.0,Usage exceeds allocation by 32.7
gb02,mrd599,0.0,10.0,Within the 10.0 KSU allocation per quarter
gb02,ms5578,4.2,10.0,Within the 10.0 KSU allocation per quarter
gb02,mz4259,0.0,10.0,Within the 10.0 KSU allocation per quarter
gb02,nc3020,2.3,10.0,Within the 10.0 KSU allocation per quarter
gb02,nt4273,21.8,10.0,Usage exceeds allocation by 11.8
gb02,pag548,15.1,10.0,Usage exceeds allocation by 5.1
gb02,pc2687,54.0,10.0,Usage exceeds allocation by 44.0
gb02,qg8515,16.3,10.0,Usage exceeds allocation by 6.3
gb02,qo9901,75.2,100.0,Within the 100.0 KSU allocation per quarter
gb02,qr1706,0.2,10.0,Within the 10.0 KSU allocation per quarter
gb02,sc1326,3.1,10.0,Within the 10.0 KSU allocation per quarter
gb02,sc5932,2.5,10.0,Within the 10.0 KSU allocation per quarter
gb02,sd9490,0.2,10.0,Within the 10.0 KSU allocation per quarter
gb02,sg3790,0.6,10.0,Within the 10.0 KSU allocation per quarter
gb02,sg7549,12.5,10.0,Usage exceeds allocation by 2.5
gb02,sho561,0.2,10.0,Within the 10.0 KSU allocation per quarter
gb02,sl5165,382.5,300.0,Usage exceeds allocation by 82.5
