,Project,User,Usage,Allocation,Status
0,gb02,ab2313,31.2,10,Usage exceeds allocation by 21.2
1,gb02,ab4502,0.0,10,Within the 10 KSU allocation per quarter
2,gb02,ad0579,98.3,10,Usage exceeds allocation by 88.3
3,gb02,ad1803,0.3,10,Within the 10 KSU allocation per quarter
4,gb02,ak2642,1.2,10,Within the 10 KSU allocation per quarter
5,gb02,as8561,6.3,10,Within the 10 KSU allocation per quarter
6,gb02,asr599,0.0,10,Within the 10 KSU allocation per quarter
7,gb02,cc6171,9.0,10,Within the 10 KSU allocation per quarter
8,gb02,cd3022,0.0,10,Within the 10 KSU allocation per quarter
9,gb02,cj0591,0.0,10,Within the 10 KSU allocation per quarter
10,gb02,cm1405,0.1,10,Within the 10 KSU allocation per quarter
11,gb02,dh3280,1.1,10,Within the 10 KSU allocation per quarter
12,gb02,ec0044,0.0,10,Within the 10 KSU allocation per quarter
13,gb02,ef1645,1.4,10,Within the 10 KSU allocation per quarter
14,gb02,fbd581,0.8,10,Within the 10 KSU allocation per quarter
15,gb02,gs5098,1.5,10,Within the 10 KSU allocation per quarter
16,gb02,il1874,0.0,10,Within the 10 KSU allocation per quarter
17,gb02,jl8556,0.0,10,Within the 10 KSU allocation per quarter
18,gb02,js2535,17.9,10,Usage exceeds allocation by 7.9
19,gb02,jt0319,6.4,10,Within the 10 KSU allocation per quarter
20,gb02,jt5160,0.0,10,Within the 10 KSU allocation per quarter
21,gb02,lk5320,0.2,10,Within the 10 KSU allocation per quarter
22,gb02,lw5085,0.0,10,Within the 10 KSU allocation per quarter
23,gb02,mb0427,0.1,10,Within the 10 KSU allocation per quarter
24,gb02,mjl561,0.7,10,Within the 10 KSU allocation per quarter
25,gb02,ms5578,6.3,10,Within the 10 KSU allocation per quarter
26,gb02,mxr581,0.0,10,Within the 10 KSU allocation per quarter
27,gb02,nc3020,5.4,10,Within the 10 KSU allocation per quarter
28,gb02,nt4273,19.3,10,Usage exceeds allocation by 9.3
29,gb02,pag548,56.1,10,Usage exceeds allocation by 46.1
30,gb02,pc2687,82.6,10,Usage exceeds allocation by 72.6
31,gb02,pp7885,0.4,10,Within the 10 KSU allocation per quarter
32,gb02,qg8515,308.8,10,Usage exceeds allocation by 298.8
33,gb02,rk9077,0.3,10,Within the 10 KSU allocation per quarter
34,gb02,sc1326,0.2,10,Within the 10 KSU allocation per quarter
35,gb02,sc5932,1.1,10,Within the 10 KSU allocation per quarter
36,gb02,sg7549,6.9,10,Within the 10 KSU allocation per quarter
37,gb02,sho561,0.1,10,Within the 10 KSU allocation per quarter
38,gb02,sl5165,579.8,10,Usage exceeds allocation by 569.8
39,gb02,ss0293,1.7,10,Within the 10 KSU allocation per quarter
40,gb02,sv6923,0.8,10,Within the 10 KSU allocation per quarter
41,gb02,sz2492,2.5,10,Within the 10 KSU allocation per quarter
42,gb02,wl0799,8.0,10,Within the 10 KSU allocation per quarter
43,fy29,bw6466,118.1,10,Usage exceeds allocation by 108.1
44,fy29,cr7888,0.1,10,Within the 10 KSU allocation per quarter
45,fy29,jt0319,0.3,10,Within the 10 KSU allocation per quarter
46,fy29,mg8987,20.7,10,Usage exceeds allocation by 10.7
47,fy29,mjl561,155.4,10,Usage exceeds allocation by 145.4
48,fy29,mxr581,150.5,10,Usage exceeds allocation by 140.5
49,fy29,nc3020,0.5,10,Within the 10 KSU allocation per quarter
50,fy29,ob1561,0.7,10,Within the 10 KSU allocation per quarter
51,fy29,pag548,0.0,10,Within the 10 KSU allocation per quarter
52,fy29,pc2687,0.0,10,Within the 10 KSU allocation per quarter
53,fy29,qg8515,92.9,10,Usage exceeds allocation by 82.9
54,fy29,qo9901,5.5,10,Within the 10 KSU allocation per quarter
55,fy29,sho561,0.1,10,Within the 10 KSU allocation per quarter
56,fy29,tp9488,3.4,10,Within the 10 KSU allocation per quarter
57,fy29,txs156,2.7,10,Within the 10 KSU allocation per quarter
58,fy29,wl0799,0.4,10,Within the 10 KSU allocation per quarter
59,fy29,yw5715,1.3,10,Within the 10 KSU allocation per quarter
60,if69,ab2313,0.2,10,Within the 10 KSU allocation per quarter
